load_mw,timestamp,pca_abbrev,source
12956,2016011109,SG,Singapore EMA
12472,2016011110,SG,Singapore EMA
12443,2016011111,SG,Singapore EMA
12350,2016011112,SG,Singapore EMA
12135,2016011113,SG,Singapore EMA
11618,2016011114,SG,Singapore EMA
11054,2016011115,SG,Singapore EMA
10448,2016011116,SG,Singapore EMA
10049,2016011117,SG,Singapore EMA
9809,2016011118,SG,Singapore EMA
9670,2016011119,SG,Singapore EMA
9607,2016011120,SG,Singapore EMA
9866,2016011121,SG,Singapore EMA
10483,2016011122,SG,Singapore EMA
11085,2016011123,SG,Singapore EMA
12173,2016011200,SG,Singapore EMA
12773,2016011201,SG,Singapore EMA
13098,2016011202,SG,Singapore EMA
13221,2016011203,SG,Singapore EMA
13026,2016011204,SG,Singapore EMA
13218,2016011205,SG,Singapore EMA
13338,2016011206,SG,Singapore EMA
13383,2016011207,SG,Singapore EMA
13401,2016011208,SG,Singapore EMA
13127,2016011209,SG,Singapore EMA
12591,2016011210,SG,Singapore EMA
12585,2016011211,SG,Singapore EMA
12495,2016011212,SG,Singapore EMA
12278,2016011213,SG,Singapore EMA
11757,2016011214,SG,Singapore EMA
11186,2016011215,SG,Singapore EMA
10574,2016011216,SG,Singapore EMA
10166,2016011217,SG,Singapore EMA
9885,2016011218,SG,Singapore EMA
9711,2016011219,SG,Singapore EMA
9660,2016011220,SG,Singapore EMA
9859,2016011221,SG,Singapore EMA
10494,2016011222,SG,Singapore EMA
11156,2016011223,SG,Singapore EMA
12192,2016011300,SG,Singapore EMA
12831,2016011301,SG,Singapore EMA
13150,2016011302,SG,Singapore EMA
13236,2016011303,SG,Singapore EMA
13047,2016011304,SG,Singapore EMA
13216,2016011305,SG,Singapore EMA
13351,2016011306,SG,Singapore EMA
13327,2016011307,SG,Singapore EMA
13255,2016011308,SG,Singapore EMA
13015,2016011309,SG,Singapore EMA
12547,2016011310,SG,Singapore EMA
12485,2016011311,SG,Singapore EMA
12386,2016011312,SG,Singapore EMA
12168,2016011313,SG,Singapore EMA
11677,2016011314,SG,Singapore EMA
11140,2016011315,SG,Singapore EMA
10513,2016011316,SG,Singapore EMA
10124,2016011317,SG,Singapore EMA
9867,2016011318,SG,Singapore EMA
9701,2016011319,SG,Singapore EMA
9632,2016011320,SG,Singapore EMA
9827,2016011321,SG,Singapore EMA
10458,2016011322,SG,Singapore EMA
11101,2016011323,SG,Singapore EMA
